produto_id,nome_produto
0,NO IDENTIFICADO 0
9,CAPUCCINO MOKA 750G NES 9
41,BIMBOLLOS EXT SAJONJOLI 6P 480G BIM 41
53,BURRITOS SINCRO 170G CU LON 53
72,DIV TIRA MINI DORADITA 4P 45G TR 72
73,PAN MULTIGRANO LINAZA 540G BIM 73
98,TOSTADO INTEGRAL 180G WON 98
99,PAN BLANCO 567G WON 99
100,SUPER PAN BCO AJONJOLI 680G SP WON 100
106,WONDER 100PCT MEDIANO 475G WON 106
107,WONDER 100PCT GDE 680G SP WON 107
108,BAGUETTE PRECOCIDA CONG 280G DH 108
109,PAN MULTICEREAL 475G WON 109
112,TOSTADO INTEGRAL 180G WON 112
122,BISCOTEL RECETA ORIGINAL 410G CU SUA 122
123,SUPER BOLLOS 5IN 8P 540G WON 123
125,BOLLOS 8P 450G WON 125
131,BOLLOS BK 4IN 36P 1635G SL 131
132,BOLLOS BK 5IN 30P 1730G SL 132
134,BOLLOS BK 4IN 30P 1635G TIR SL 134
135,BOLLOS BK 5IN 20P 1730G TIR SL 135
141,HOT DOGS 8P 290G WON 141
145,SUPER HOT DOGS 8P 435G WON 145
151,MEDIAS NOCHES 24P 470G BK SL 151
157,BOLLO WB 5IN SNAJN 20P 1950G SL 157
160,MOLIDO BOLSA 180G WON 160
161,BOLLOS KFC 5IN 15P 1237G WON 161
162,MOLIDO 25KG WON 162
163,MOLIDO 5KG WON 163
179,TOSTADO INT 0PCT GRASA AZUCAR 200G WON 179
183,TORTILLAS HARINA 260G 10P WON 183
202,BOLLOS 5IN 12P 976G SL 202
205,BOLLOS 4IN 18P 1000G SL 205
214,BOLLOS CARLS JR 1080G SL 214
217,HOT DOG ESTILO SONORA 500G BIM 217
248,MARIAS 170G TAB LAR 248
303,DALMATA 1P 55G MLA 303
306,CHOCOTORRO FRESA 1P 50G MLA 306
308,DALMATA 1P 55G MLA 308
321,TUINKY CHOCOLATE 2P 76G WON 321
322,TUINKY FRESAS CON CREMA 2P WON 322
323,TUINKY CHOCOLATE 3P 114G WON 323
325,TUINKY VAINILLA 3P 114G WON 325
328,TUINKY FRESAS CREMA 3P 114G WON 328
357,PANITOS CHOCOLATE 30G WON 357
412,CANELITAS INST 30G MLA 412
523,DALMATA 1P 55G TIRA MLA 523
614,BOMBONETE SC 55G CJ MLA 614
617,CANELITAS 900G MLA 617
630,NITO ME 4P 248G BIM 630
632,MANTECADAS ME 8P 250G BIM 632
634,DONITAS ESPOLVOREADAS ME 12P 210G BIM 634
635,DONAS AZUCAR ME 8P 210G BIM 635
641,BOLLO EXTRA GRANDE 15P 1200G BIM 641
665,FIGATZA 345G BIM 665
693,TOSTADA PLANA 15P 175G MR 693
713,PAN MULTIGRANO 680G ORO 713
714,7 GRANOS 680G ORO 714
715,PAN 100PCT INTEGRAL 680G ORO 715
739,SALADAS 200P 2 4KG LAR 739
779,PAN BLANCO SILUETA 500G BIM 779
799,MINI PRINCIPE 45G MLA 799
815,TOSTADA ONDULADA REG 30P 360G MR 815
831,GANSITO 10P 500G MLA 831
890,TOSTADA TUBO 3PQ 360G MR 890
897,TOSTADA OND TUBO 30P 360G PROM MR 897
915,BOLILLO CONGELADO 80G DH 915
972,ROLES CANELA 6P 365G BIM 972
1031,PAN BOLSA 2A 500G BIM 1031
1039,PAN 12 GRANOS 680G ORO 1039
1064,PANQUE MARMOL 255G BIM 1064
1101,TORTILLINAS GDE MCD 500G CN TR 1101
1109,PAN BLANCO CHICO 360G BIM 1109
1111,PAN BLANCO 2PQ 1360G BIM 1111
1112,SUPER PAN BLANCO 740G BIM 1112
1120,PAN BLANCO 680G BIM 1120
1124,TORTILLINAS 10P 365G PROMO 50PCT TR 1124
1125,TORTILLINAS 10P 255G TR 1125
1126,TORTILLINAS GRANDE 10P 510G TR 1126
1129,TORTILLINAS 20P 510G TR 1129
1134,TORTILLA HNA 22P 840G CONV DH 1134
1136,JUGOS GUAYABA SONRISAS 350ML VR 1136
1143,PAN INTEGRAL GDE 2PQ 1360G BIM 1143
1144,PAN INTEGRAL 480G BIM 1144
1145,PAN INTEGRAL 680G BIM 1145
1146,PAN INTEGRAL 675G BIM 1146
1147,TOSTADA PLANA 15P 230G DH 1147
1148,TOSTADA PLANA DE MAIZ 20P 180G DH 1148
1150,MEDIAS NOCHES 8P 340G BIM 1150
1153,MEDIAS NOCHES 16P 680G BIM 1153
1156,TORTILLINAS 50P 1 31KG TR 1156
1160,BIMBOLLOS 8P 450G BIM 1160
1164,BIMBOLLOS 12P 675G BIM 1164
1166,BOLLO REGULAR 2PQ 30P MCD BIM 1166
1167,BOLLOS QUARTER POUNDER MCD 30P 1700G BIM 1167
1168,BOLLO BIG MAC 30P 1200G MCD BIM 1168
1169,BIMBOLLOS EXTRA 6P 480G BIM 1169
1178,CHINO CONGELADO 72G CJ DH 1178
1180,TOSTADO 210G BIM 1180
1182,TOSTADO 210G CU BIM 1182
1185,MOLIDO 210G BIM 1185
1187,MOLIDO 5KG BIM 1187
1198,TOSTADO 2PQ 420G BIM 1198
1212,ROLES CANELA 2P 120G BIM 1212
1216,ROLES GLASS 2P 135G BIM 1216
